iter	Passed	Remaining
810	3056	712
811	3059	708
812	3063	704
813	3066	700
814	3070	696
815	3073	693
816	3076	689
817	3080	685
818	3083	681
819	3086	677
820	3090	673
821	3094	670
822	3097	666
823	3101	662
824	3104	658
825	3107	654
826	3111	650
827	3114	646
828	3118	643
829	3123	639
830	3128	636
831	3131	632
832	3134	628
833	3138	624
834	3142	620
835	3145	617
836	3149	613
837	3152	609
838	3157	605
839	3160	602
840	3164	598
841	3168	594
842	3172	590
843	3176	587
844	3180	583
845	3183	579
846	3187	575
847	3191	572
848	3194	568
849	3198	564
850	3201	560
851	3205	556
852	3208	552
853	3211	549
854	3215	545
855	3218	541
856	3222	537
857	3226	533
858	3229	530
859	3233	526
860	3236	522
861	3240	518
862	3243	514
863	3246	511
864	3250	507
865	3254	503
866	3257	499
867	3260	495
868	3264	492
869	3268	488
870	3271	484
871	3275	480
872	3278	476
873	3281	473
874	3285	469
875	3288	465
876	3292	461
877	3295	457
878	3299	454
879	3302	450
880	3306	446
881	3309	442
882	3312	438
883	3316	435
884	3320	431
885	3323	427
886	3326	423
887	3330	420
888	3334	416
889	3337	412
890	3340	408
891	3343	404
892	3347	401
893	3350	397
894	3354	393
895	3357	389
896	3361	385
897	3364	382
898	3368	378
899	3371	374
900	3374	370
901	3378	367
902	3381	363
903	3385	359
904	3388	355
905	3391	351
906	3395	348
907	3399	344
908	3402	340
909	3406	336
910	3409	333
911	3413	329
912	3416	325
913	3419	321
914	3423	317
915	3426	314
916	3429	310
917	3433	306
918	3436	302
919	3440	299
920	3444	295
921	3448	291
922	3452	288
923	3456	284
924	3460	280
925	3465	276
926	3468	273
927	3472	269
928	3476	265
929	3481	262
930	3485	258
931	3489	254
932	3493	250
933	3497	247
934	3502	243
935	3506	239
936	3511	236
937	3514	232
938	3518	228
939	3521	224
940	3525	221
941	3528	217
942	3532	213
943	3535	209
944	3539	205
945	3542	202
946	3546	198
947	3549	194
948	3553	190
949	3556	187
950	3560	183
951	3563	179
952	3567	175
953	3570	172
954	3574	168
955	3577	164
956	3580	160
957	3584	157
958	3588	153
959	3591	149
960	3595	145
961	3598	142
962	3602	138
963	3605	134
964	3609	130
965	3612	127
966	3616	123
967	3620	119
968	3623	115
969	3626	112
970	3630	108
971	3633	104
972	3637	100
973	3641	97
974	3644	93
975	3648	89
976	3651	85
977	3655	82
978	3659	78
979	3662	74
980	3666	71
981	3681	67
982	3684	63
983	3688	59
984	3691	56
985	3694	52
986	3698	48
987	3701	44
988	3705	41
989	3708	37
990	3712	33
991	3715	29
992	3719	26
993	3722	22
994	3726	18
995	3729	14
996	3733	11
997	3736	7
998	3740	3
999	3744	0
